0.8		0.66		0.71		0.24		0.23	1.0
0		0		0		0		0.04	0.0
0.85		0.65		1		0.54		0.45	1.0
0		0		0		0		0.04	0.0
0.95		0.84		0.77		0.38		0.08	1.0
0		0		0		0		0.04	0.0
0.82		0.35		0.52		0.38		0.14	1.0
0		0		0		0		0.04	0.0
0.79		0.48		0.48		0.41		0.03	1.0
0		0		0		0		0.04	0.0
0.79		0.4		0.68		0.38		0.53	1.0
0		0		0		0		0.04	0.0
0.83		0.68		0.52		0.43		0.23	1.0
0		0		0		0		0.04	0.0
0.86		0.65		0.77		0.41		0.44	1.0
0		0		0		0		0.04	0.0
0.8		0.61		0.71		0.41		0.04	1.0
0		0		0		0		0.04	0.0
0.8		0.85		0.35		0.24		0.25	1.0
0		0		0		0		0.04	0.0
0.8		0.27		0.39		0.43		0.13	1.0
0		0		0		0		0.04	0.0
0.83		0.74		0.74		0.24		0.27	1.0
0		0		0		0		0.04	0.0
0.87		0.6		0.87		0.27		0.33	1.0
0		0		0		0		0.04	0.0
0.84		0.53		0.61		1		0.18	1.0
0		0		0		0		0.04	0.0
0.92		0.63		0.52		0.24		0.19	1.0
0		0		0		0		0.04	0.0
0.82		0.55		0.68		0.3		0.29	1.0
0		0		0		0		0.04	0.0
0.83		0.55		0.48		0.22		0.12	1.0
0		0		0		0		0.04	0.0
0.86		0.44		0.48		0.27		0.28	1.0
0		0		0		0		0.04	0.0
0.89		0.69		0.68		0.35		0.11	1.0
0		0		0		0		0.04	0.0
0.86		0.46		0.42		0.35		0.18	1.0
0		0		0		0		0.04	0.0
0.76		0.51		0.39		0.27		0.15	1.0
0		0		0		0		0.04	0.0
0.77		0.66		0.42		0.19		0.04	1.0
0		0		0		0		0.04	0.0
0.82		0.68		0.61		0.11		0.03	1.0
0		0		0		0		0.04	0.0
0.77		0.5		0.58		0.54		0.21	1.0
0		0		0		0		0.04	0.0
0.91		0.66		0.55		0.35		0.04	1.0
0		0		0		0		0.04	0.0
0.75		0.4		0.77		0.49		0.3	1.0
0		0		0		0		0.04	0.0
0.8		0.63		0.77		0.27		0.13	1.0
0		0		0		0		0.04	0.0
0.87		0.66		0.71		0.43		0.09	1.0
0		0		0		0		0.04	0.0
0.79		0.73		0.65		0.27		0.11	1.0
0		0		0		0		0.04	0.0
0.83		0.68		0.58		0.27		0.2	1.0
0		0		0		0		0.04	0.0
0.9		0.55		0.35		0.38		0.13	1.0
0		0		0		0		0.04	0.0
0.87		0.73		0.65		0.32		0.2	1.0
0		0		0		0		0.04	0.0
0.83		0.51		0.61		0.57		0.49	1.0
0		0		0		0		0.04	0.0
0.68		0.53		0.52		0.38		0.11	1.0
0		0		0		0		0.04	0.0
0.88		0.8		0.61		0.32		0.31	1.0
0		0		0		0		0.04	0.0
0.88		0.72		0.45		0.41		0.18	1.0
0		0		0		0		0.04	0.0
0.85		0.59		0.65		0.49		0.15	1.0
0		0		0		0		0.04	0.0
0.8		0.61		0.48		0.22		0.07	1.0
0		0		0		0		0.04	0.0
0.98		0.62		0.55		0.11		0.26	1.0
0		0		0		0		0.04	0.0
0.75		0.69		0.77		0.24		0.17	1.0
0		0		0		0		0.04	0.0
0.91		0.66		0.77		0.22		0.25	1.0
0		0		0		0		0.04	0.0
0.83		0.6		0.52		0.41		0.06	1.0
0		0		0		0		0.04	0.0
0.97		0.78		0.87		0.32		0.28	1.0
0		0		0		0		0.04	0.0
0.91		0.88		0.48		0.43		0.07	1.0
0		0		0		0		0.04	0.0
0.92		0.53		0.74		0.27		0.39	1.0
0		0		0		0		0.04	0.0
0.8		0.55		0.58		0.41		0.09	1.0
0		0		0		0		0.04	0.0
0.82		0.65		0.42		0.49		0.34	1.0
0		0		0		0		0.04	0.0
0.9		0.44		0.61		0.35		0.17	1.0
0		0		0		0		0.04	0.0
0.75		0.62		0.81		0.35		0.02	1.0
0		0		0		0		0.04	0.0
0.89		0.53		0.61		0.41		1	1.0
0		0		0		0		0.04	0.0
0.75		0.74		0.81		0.19		0.01	1.0
0		0		0		0		0.04	0.0
